worktree	saved_ref	local_only_files
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/R3-istochniki [zahod/R3-istochniki]	origin/dizajn-dobivka	ignored files not on GitHub: scratchpad/R3-istochniki/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/raspil-monolita [zahod/raspil-monolita]	origin/dizajn-dobivka	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/raspredelenie-kolonki [zahod/raspredelenie-kolonki]	origin/park/2026-09-25/wt-raspredelenie-kolonki	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal;scratchpad/raspredelenie-kolonki/probnaya.db-shm;scratchpad/raspredelenie-kolonki/probnaya.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/rovno [volna17-rovno]	origin/main	ignored files not on GitHub: scratchpad/konduit-17alef-rovno/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/S1-slot-i-routy [zahod/S1-slot-i-routy]	origin/park/2026-09-25/wt-S1-slot-i-routy	ignored files not on GitHub: data/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/shirina-prep-vdn [zahod/shirina-prep-vdn]	origin/main	ignored files not on GitHub: data/spetsmat.db
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/skleit-adminku-s-sajtom [zahod/skleit-adminku-s-sajtom]	origin/dizajn-dobivka	ignored files not on GitHub: data/raspredelenie.html;data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/sklejka-vhoda-s-serverom [sklejka-vhoda-s-serverom]	origin/dizajn-dobivka	ignored files not on GitHub: data
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/sostav-klassa-i-112-strok [(detached)]	origin/park/2026-09-25/wt-sostav-klassa-i-112-strok	ignored files not on GitHub: data/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/statistiki-i-grobarij [zahod/statistiki-i-grobarij]	origin/park/2026-09-25/wt-statistiki-i-grobarij	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal;scratchpad/statistiki-i-grobarij/boevaya.db-shm;scratchpad/statistiki-i-grobarij/boevaya.db-wal;scratchpad/statistiki-i-grobarij/proba-ponedelnik.db-shm;+1
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/storozh-vstal [zahod/storozh-vstal]	origin/park/2026-09-25/wt-storozh-vstal	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/TEST-uchitel [zahod/TEST-uchitel]	origin/main	ignored files not on GitHub: secrets/
