path	size_mb	ext	tracked_in_git
/Users/ivanyakovlev/Documents/Готовимся к ЕГЭ/reference/методички_Часть2/19_Вольфсон-и-др_Числа_Задача19.pdf	11.5	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Прочее/книги/Konkretnaya_matematika_Matematicheskie_osnovy_informatiki.pdf	11.3	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/spetsmat/materials/источники-книги/Доценко - Задачи по математике 2000-2004.pdf	11.3	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Научпоп/Математика_для_тех,_кто_боится_математики.pdf	11.0	pdf	not-a-repo
/Users/ivanyakovlev/Downloads/Брессу - Доказательства и подтверждения. Как была доказана гипотеза о знакочередующихся матрицах.pdf/[Комбинаторика] Брессу - Доказательства и Подтверждения_ Как была доказана гипотеза о знакочередующихся матрицах (МЦНМО) - libgen.li.pdf	11.0	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/kurs-puti-i-volny/istochniki/Bressoud-dokazatelstva-i-podtverzhdeniya.pdf	11.0	pdf	no
/Users/ivanyakovlev/Documents/Книги/Прочее/статьи/rosas2025.pdf	10.9	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Вероятность/Задачи заочных интернет-олимпиад по теории вероятностей и статистике.pdf	10.7	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/teorver-vvedenie/istochniki/pdf/vysockiy-yashchenko-olimpiady.pdf	10.7	pdf	no
/Users/ivanyakovlev/Documents/Книги/Прочее/книги/M_B_Lagutin_Naglyadnaya_matematicheskaya_statistik.pdf	10.6	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Комбинаторика/Gyori, Katona - Horizons of Combinatorics.pdf	10.5	pdf	not-a-repo
/Users/ivanyakovlev/Downloads/книжки/Калинина, Кац, Тилипман - Математика в твоих руках.pdf	10.4	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/_fond/biblioteka/nachalka/kalinina-kac-tilipman-matematika-v-tvoih-rukah.pdf	10.4	pdf	no
/Users/ivanyakovlev/Documents/Книги/Комбинаторика/Bona - A Walk Through Combinatorics.pdf	10.4	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Вероятность/Кельбер Сухов Задачник.pdf	10.3	pdf	not-a-repo
/Users/ivanyakovlev/Downloads/Когано - Анализ и комбинаторика.pdf	10.1	pdf	not-a-repo
/Users/ivanyakovlev/Downloads/Андерсен - Дискретная математика.pdf	10.0	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Логика и множества/compl-book.pdf	9.8	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Вероятность/Кружок по теории вероятностей.pdf	9.7	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/teorver-vvedenie/istochniki/pdf/vysockiy-kruzhok-tv.pdf	9.7	pdf	no
/Users/ivanyakovlev/Documents/GitHub/materials/_fond/biblioteka/vysockij-kruzhok-teorver.pdf	9.7	pdf	no
/Users/ivanyakovlev/Documents/Книги/Логика и множества/diskretnaya_matematika_chast_1.pdf	9.7	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Вероятность/vvedenie_v_ehrgodicheskuyu_teoriyu.pdf	9.7	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Тьюринг. Путеводитель по математической строгости/style/textures/Complement.jpg	9.5	jpg	not-a-repo
/Users/ivanyakovlev/Documents/мои документы/Загран.pdf	9.3	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Вероятность/Chung, AitSahlia - Elementary Probability Theory. With Stochastic Processes and an Introduction to Mathematical Finance.pdf	9.2	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Логика и множества/Виленкин - Рассказы о множествах.pdf	9.1	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Вероятность/Секей Парадоксы в теории вероятности.pdf	8.9	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/teorver-vvedenie/istochniki/pdf/sekey-paradoksy.pdf	8.9	pdf	no
/Users/ivanyakovlev/Documents/Книги/Вероятность/П.Эрдёш, Дж.Спенсер, Вероятностные методы в комбинаторике.pdf	8.9	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Прочее/книги/cosmo.pdf	8.9	pdf	not-a-repo
/Users/ivanyakovlev/Documents/Книги/Вероятность/Hawkins - Ergodic Dynamics.pdf	8.7	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/teoriya-kategoriy/istochniki/pdf/gelfand-manin-methods-homological-algebra-en.pdf	8.6	pdf	no
/Users/ivanyakovlev/Documents/GitHub/spetsmat/spetsmat_db/outputs/spetsmat_demo.html	8.6	html	no
/Users/ivanyakovlev/Documents/Книги/Вероятность/Бородин - Элементарный курс теории вероятностей и математической статистики.pdf	8.5	pdf	not-a-repo
/Users/ivanyakovlev/Documents/GitHub/materials/ucheniki/literatura/orlin-matematicheskie-igry.pdf	8.4	pdf	no
/Users/ivanyakovlev/Documents/GitHub/materials/teoriya-kategoriy/istochniki/pdf/pierce-basic-category-theory-cs-1991.pdf	8.3	pdf	no
/Users/ivanyakovlev/Documents/GitHub/materials/teoriya-kategoriy/istochniki/pdf/cheng-the joy of abstraction - an exploration of math, category .pdf	8.2	pdf	no
