path	kind	origin_url	head_branch	default_branch	dirty_tracked	untracked	porcelain_before	porcelain_after	size_mb	first_commit_date	last_commit_date	commit_count	newest_file_mtime	readme_title	funnel_rule	funnel_rule_strict	dup_group	fetch	head_in_default	dotgit_birth	status_err	dirty_class
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/faza-uborki-razrezana	worktree	https://github.com/d1-d57/disciplina.git	zahod/faza-uborki-razrezana	main	0	0	0	0	225.7	2026-08-06T04:08	2026-09-23T10:50	5988	2026-09-23T10:52	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-23T10:52		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gejt-otlichaet-upotreblenie-ot-upominaniya	worktree	https://github.com/d1-d57/disciplina.git	(detached)	main	0	0	0	0	193.3	2026-08-06T04:08	2026-09-06T03:25	3050	2026-09-06T03:27	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-06T02:42		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gejt-podklyucheniya-lozhnoe-zelenoe	worktree	https://github.com/d1-d57/disciplina.git	zahod/gejt-podklyucheniya-lozhnoe-zelenoe	main	0	0	0	0	218.5	2026-08-06T04:08	2026-09-21T14:30	5244	2026-09-21T14:30	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-21T13:49		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gejt-postroeno-ne-podklyucheno	worktree	https://github.com/d1-d57/disciplina.git	zahod/gejt-postroeno-ne-podklyucheno	main	0	1	1	1	217.4	2026-08-06T04:08	2026-09-21T04:08	5080	2026-09-21T04:10	disciplina	R3-park	R3-park		ok	yes	2026-09-20T23:47		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gejt-sborki-v-generator	worktree	https://github.com/d1-d57/disciplina.git	(detached)	main	1	0	1	1	203.3	2026-08-06T04:08	2026-09-13T14:33	3735	2026-09-13T14:36	disciplina	R10-wt-residue	R3-park		ok	yes	2026-09-13T01:45		generated-only
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/generator-pravila	worktree	https://github.com/d1-d57/disciplina.git	zahod/generator-pravila	main	0	1	1	1	213.8	2026-08-06T04:08	2026-09-20T18:12	4749	2026-09-20T18:14	disciplina	R3-park	R3-park		ok	yes	2026-09-20T16:36		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/generator-rychaga	worktree	https://github.com/d1-d57/disciplina.git	zahod/generator-rychaga	main	0	1	1	1	213.8	2026-08-06T04:08	2026-09-20T21:20	4753	2026-09-20T19:10	disciplina	R3-park	R3-park		ok	no	2026-09-20T16:37		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gigiena-arki-bez-klapanov	worktree	https://github.com/d1-d57/disciplina.git	zahod/gigiena-arki-bez-klapanov	main	0	0	0	0	292.8	2026-08-06T04:08	2026-09-24T03:06	7553	2026-09-24T03:07	disciplina	R2-push	R2-push		ok	no	2026-09-24T03:06		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gigiena-repozitoriya-worktree-vetki-vyvoz	worktree	https://github.com/d1-d57/disciplina.git	zahod/gigiena-repozitoriya-worktree-vetki-vyvoz	main	0	0	0	0	184.4	2026-08-06T04:08	2026-09-04T00:08	2743	2026-09-04T00:08	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-03T22:45		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/git-bez-zamkov	worktree	https://github.com/d1-d57/disciplina.git	zahod/git-bez-zamkov	main	0	1	1	1	236.9	2026-08-06T04:08	2026-09-23T22:57	7116	2026-09-23T22:59	disciplina	R3-park	R3-park		ok	no	2026-09-23T21:27		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/git-odna-dver	worktree	https://github.com/d1-d57/disciplina.git	(detached)	main	0	0	0	0	111.3	2026-08-06T04:08	2026-08-25T02:09	580	2026-08-25T04:08	disciplina	R1-ok	R1-ok		ok	no	2026-08-25T02:32		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/git-zona-zona-shire-kontrakta	worktree	https://github.com/d1-d57/disciplina.git	zahod/git-zona-zona-shire-kontrakta	main	3	0	3	3	262.0	2026-08-06T04:08	2026-09-17T17:03	4381	2026-09-17T18:01	disciplina	R3-park	R3-park		ok	no	2026-09-17T12:05		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gromkij-otkaz-podlozhka	worktree	https://github.com/d1-d57/disciplina.git	zahod/gromkij-otkaz-podlozhka	main	0	1	1	1	228.1	2026-08-06T04:08	2026-09-23T13:20	6158	2026-09-23T13:34	disciplina	R3-park	R3-park		ok	yes	2026-09-23T12:47		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-git-po-kontraktu	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-git-po-kontraktu	main	0	0	0	0	239.6	2026-08-06T04:08	2026-09-24T02:16	7343	2026-09-24T02:15	disciplina	R2-push	R2-push		ok	no	2026-09-24T00:08		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-obhod-proverok	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-obhod-proverok	main	0	0	0	0	241.7	2026-08-06T04:08	2026-09-24T10:00	7833	2026-09-24T10:00	disciplina	R2-push	R2-push		ok	no	2026-09-24T09:34		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-obryv-api	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-obryv-api	main	0	1	1	1	238.8	2026-08-06T04:08	2026-09-24T01:05	7338	2026-09-24T01:06	disciplina	R3-park	R3-park		ok	no	2026-09-24T00:08		work
