repo_path	branch	has_upstream	ahead	behind	in_default	last_commit_date	checked_out_in
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huk-zapret-udaleniya	no	n/a	n/a	no	2026-09-23T22:47	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-zapret-udaleniya
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/huki-karkas	no	n/a	n/a	no	2026-09-23T16:42	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huki-karkas
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/hvosty-d10	no	n/a	n/a	yes	2026-09-23T10:50	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/hvosty-d10
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/hvosty-vynosa	yes	0	0	yes	2026-08-25T23:20	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/hvosty-vynosa
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/izmerit-karantin	yes	0	0	yes	2026-09-21T04:22	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/izmerit-karantin
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/kakie-fikstury	no	n/a	n/a	no	2026-09-23T23:25	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kakie-fikstury
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/kanaly-razvedka-sud-pochinka	yes	0	0	no	2026-09-20T15:46	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kanaly-razvedka-sud-pochinka
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/kanon-mandata-v-generatore	no	n/a	n/a	yes	2026-09-20T01:01	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kanon-mandata-v-generatore
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/karta-gejtov-odnoj-komandoj	yes	0	0	yes	2026-09-21T16:24	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/karta-gejtov-odnoj-komandoj
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/karta-mashiny-orkestratora	no	n/a	n/a	yes	2026-09-23T00:00	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/karta-mashiny-orkestratora
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/karta-mashiny-v2	yes	0	0	yes	2026-09-23T02:36	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/karta-mashiny-v2
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/kartochka-uroka-chem-i-predmet	no	n/a	n/a	yes	2026-09-23T00:00	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kartochka-uroka-chem-i-predmet
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/kontekst-vedushchego-v-stroke-kruga	yes	0	0	yes	2026-09-23T02:34	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kontekst-vedushchego-v-stroke-kruga
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/kontrakt-roli-prinuzhdaetsya	yes	0	0	yes	2026-09-21T15:55	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kontrakt-roli-prinuzhdaetsya
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/kontury-upravleniya	no	n/a	n/a	yes	2026-09-23T13:16	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kontury-upravleniya
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/konvejer-suda-urokov	yes	0	0	yes	2026-09-21T01:24	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/konvejer-suda-urokov
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/korpus-generatorov-i-tipov	yes	0	0	yes	2026-09-20T11:33	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/korpus-generatorov-i-tipov
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/korpus-mehanika	yes	0	0	yes	2026-09-20T16:18	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/korpus-mehanika
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/korpus-pravil-i-rychagov	yes	0	0	no	2026-09-20T11:48	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/korpus-pravil-i-rychagov
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/korpus-urokov	yes	0	0	yes	2026-09-20T11:21	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/korpus-urokov
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/krug-rychag-i-utrennij-otchyot	yes	0	0	yes	2026-09-21T03:28	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/krug-rychag-i-utrennij-otchyot
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/kuski-sostava-bez-zapora	yes	0	0	no	2026-09-23T17:06	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kuski-sostava-bez-zapora
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/limit-kak-limit	no	n/a	n/a	no	2026-09-23T21:18	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/limit-kak-limit
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/mandat-atomarnaya-zapis-i-lint	no	n/a	n/a	yes	2026-09-17T12:47	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/mandat-atomarnaya-zapis-i-lint
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/mandat-proizvoditsya-konvejerom-a-ne-pamyatyu	yes	0	0	yes	2026-09-04T15:19	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/mandat-proizvoditsya-konvejerom-a-ne-pamyatyu
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/mandat-tolko-po-sobrannomu-sostavu	yes	0	0	yes	2026-09-23T13:17	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/mandat-tolko-po-sobrannomu-sostavu
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/mashinnye-polya	yes	0	0	yes	2026-09-20T20:13	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/mashinnye-polya
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/mest-zanyato-v-stroke-kruga	yes	0	0	yes	2026-09-23T11:49	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/mest-zanyato-v-stroke-kruga
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/metka-dostavki-ot-kornya	no	n/a	n/a	yes	2026-09-23T02:05	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/metka-dostavki-ot-kornya
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/minuty-kruga	yes	0	0	yes	2026-09-20T18:56	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/minuty-kruga
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/monotonnost-zakona	yes	0	0	yes	2026-09-21T01:59	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/monotonnost-zakona
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/mutaciya-zakona-zakrytiya	no	n/a	n/a	no	2026-09-24T00:56	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/mutaciya-zakona-zakrytiya
